percent_bachelor_or_above,name,state_fips,district,year,congress_session
17.3,"Congressional District 1 (111th Congress), Nevada",32,01,2010,111th Congress
22.2,"Congressional District 2 (111th Congress), Nevada",32,02,2010,111th Congress
25.0,"Congressional District 3 (111th Congress), Nevada",32,03,2010,111th Congress
32.9,"Congressional District 1 (111th Congress), New Hampshire",33,01,2010,111th Congress
32.8,"Congressional District 2 (111th Congress), New Hampshire",33,02,2010,111th Congress
25.0,"Congressional District 1 (111th Congress), New Jersey",34,01,2010,111th Congress
21.9,"Congressional District 2 (111th Congress), New Jersey",34,02,2010,111th Congress
31.9,"Congressional District 3 (111th Congress), New Jersey",34,03,2010,111th Congress
29.6,"Congressional District 4 (111th Congress), New Jersey",34,04,2010,111th Congress
43.3,"Congressional District 5 (111th Congress), New Jersey",34,05,2010,111th Congress
34.3,"Congressional District 6 (111th Congress), New Jersey",34,06,2010,111th Congress
45.9,"Congressional District 7 (111th Congress), New Jersey",34,07,2010,111th Congress
32.7,"Congressional District 8 (111th Congress), New Jersey",34,08,2010,111th Congress
36.2,"Congressional District 9 (111th Congress), New Jersey",34,09,2010,111th Congress
21.9,"Congressional District 10 (111th Congress), New Jersey",34,10,2010,111th Congress
49.5,"Congressional District 11 (111th Congress), New Jersey",34,11,2010,111th Congress
47.7,"Congressional District 12 (111th Congress), New Jersey",34,12,2010,111th Congress
28.0,"Congressional District 13 (111th Congress), New Jersey",34,13,2010,111th Congress
30.6,"Congressional District 1 (111th Congress), New Mexico",35,01,2010,111th Congress
19.1,"Congressional District 2 (111th Congress), New Mexico",35,02,2010,111th Congress
26.1,"Congressional District 3 (111th Congress), New Mexico",35,03,2010,111th Congress
32.7,"Congressional District 1 (111th Congress), New York",36,01,2010,111th Congress
34.1,"Congressional District 2 (111th Congress), New York",36,02,2010,111th Congress
36.9,"Congressional District 3 (111th Congress), New York",36,03,2010,111th Congress
36.1,"Congressional District 4 (111th Congress), New York",36,04,2010,111th Congress
37.4,"Congressional District 5 (111th Congress), New York",36,05,2010,111th Congress
22.5,"Congressional District 6 (111th Congress), New York",36,06,2010,111th Congress
23.6,"Congressional District 7 (111th Congress), New York",36,07,2010,111th Congress
54.2,"Congressional District 8 (111th Congress), New York",36,08,2010,111th Congress
37.5,"Congressional District 9 (111th Congress), New York",36,09,2010,111th Congress
24.4,"Congressional District 10 (111th Congress), New York",36,10,2010,111th Congress
32.6,"Congressional District 11 (111th Congress), New York",36,11,2010,111th Congress
26.8,"Congressional District 12 (111th Congress), New York",36,12,2010,111th Congress
28.4,"Congressional District 13 (111th Congress), New York",36,13,2010,111th Congress
64.6,"Congressional District 14 (111th Congress), New York",36,14,2010,111th Congress
35.0,"Congressional District 15 (111th Congress), New York",36,15,2010,111th Congress
10.6,"Congressional District 16 (111th Congress), New York",36,16,2010,111th Congress
31.6,"Congressional District 17 (111th Congress), New York",36,17,2010,111th Congress
48.1,"Congressional District 18 (111th Congress), New York",36,18,2010,111th Congress
36.4,"Congressional District 19 (111th Congress), New York",36,19,2010,111th Congress
28.7,"Congressional District 20 (111th Congress), New York",36,20,2010,111th Congress
30.3,"Congressional District 21 (111th Congress), New York",36,21,2010,111th Congress
27.3,"Congressional District 22 (111th Congress), New York",36,22,2010,111th Congress
19.0,"Congressional District 23 (111th Congress), New York",36,23,2010,111th Congress
22.5,"Congressional District 24 (111th Congress), New York",36,24,2010,111th Congress
31.4,"Congressional District 25 (111th Congress), New York",36,25,2010,111th Congress
29.4,"Congressional District 26 (111th Congress), New York",36,26,2010,111th Congress
23.8,"Congressional District 27 (111th Congress), New York",36,27,2010,111th Congress
24.6,"Congressional District 28 (111th Congress), New York",36,28,2010,111th Congress
29.7,"Congressional District 29 (111th Congress), New York",36,29,2010,111th Congress
13.0,"Congressional District 1 (111th Congress), North Carolina",37,01,2010,111th Congress
18.6,"Congressional District 2 (111th Congress), North Carolina",37,02,2010,111th Congress
22.8,"Congressional District 3 (111th Congress), North Carolina",37,03,2010,111th Congress
52.4,"Congressional District 4 (111th Congress), North Carolina",37,04,2010,111th Congress
22.9,"Congressional District 5 (111th Congress), North Carolina",37,05,2010,111th Congress
25.6,"Congressional District 6 (111th Congress), North Carolina",37,06,2010,111th Congress
21.7,"Congressional District 7 (111th Congress), North Carolina",37,07,2010,111th Congress
19.7,"Congressional District 8 (111th Congress), North Carolina",37,08,2010,111th Congress
39.6,"Congressional District 9 (111th Congress), North Carolina",37,09,2010,111th Congress
17.4,"Congressional District 10 (111th Congress), North Carolina",37,10,2010,111th Congress
24.8,"Congressional District 11 (111th Congress), North Carolina",37,11,2010,111th Congress
23.5,"Congressional District 12 (111th Congress), North Carolina",37,12,2010,111th Congress
30.2,"Congressional District 13 (111th Congress), North Carolina",37,13,2010,111th Congress
26.3,"Congressional District (at Large) (111th Congress), North Dakota",38,00,2010,111th Congress
24.3,"Congressional District 1 (111th Congress), Ohio",39,01,2010,111th Congress
33.2,"Congressional District 2 (111th Congress), Ohio",39,02,2010,111th Congress
25.6,"Congressional District 3 (111th Congress), Ohio",39,03,2010,111th Congress
15.7,"Congressional District 4 (111th Congress), Ohio",39,04,2010,111th Congress
17.0,"Congressional District 5 (111th Congress), Ohio",39,05,2010,111th Congress
16.6,"Congressional District 6 (111th Congress), Ohio",39,06,2010,111th Congress
21.3,"Congressional District 7 (111th Congress), Ohio",39,07,2010,111th Congress
21.0,"Congressional District 8 (111th Congress), Ohio",39,08,2010,111th Congress
21.7,"Congressional District 9 (111th Congress), Ohio",39,09,2010,111th Congress
25.5,"Congressional District 10 (111th Congress), Ohio",39,10,2010,111th Congress
26.4,"Congressional District 11 (111th Congress), Ohio",39,11,2010,111th Congress
37.8,"Congressional District 12 (111th Congress), Ohio",39,12,2010,111th Congress
26.7,"Congressional District 13 (111th Congress), Ohio",39,13,2010,111th Congress
30.4,"Congressional District 14 (111th Congress), Ohio",39,14,2010,111th Congress
35.1,"Congressional District 15 (111th Congress), Ohio",39,15,2010,111th Congress
22.2,"Congressional District 16 (111th Congress), Ohio",39,16,2010,111th Congress
18.6,"Congressional District 17 (111th Congress), Ohio",39,17,2010,111th Congress
13.2,"Congressional District 18 (111th Congress), Ohio",39,18,2010,111th Congress
27.7,"Congressional District 1 (111th Congress), Oklahoma",40,01,2010,111th Congress
15.0,"Congressional District 2 (111th Congress), Oklahoma",40,02,2010,111th Congress
20.5,"Congressional District 3 (111th Congress), Oklahoma",40,03,2010,111th Congress
22.6,"Congressional District 4 (111th Congress), Oklahoma",40,04,2010,111th Congress
27.2,"Congressional District 5 (111th Congress), Oklahoma",40,05,2010,111th Congress
37.5,"Congressional District 1 (111th Congress), Oregon",41,01,2010,111th Congress
21.6,"Congressional District 2 (111th Congress), Oregon",41,02,2010,111th Congress
31.2,"Congressional District 3 (111th Congress), Oregon",41,03,2010,111th Congress
23.6,"Congressional District 4 (111th Congress), Oregon",41,04,2010,111th Congress
29.1,"Congressional District 5 (111th Congress), Oregon",41,05,2010,111th Congress
17.6,"Congressional District 1 (111th Congress), Pennsylvania",42,01,2010,111th Congress
30.1,"Congressional District 2 (111th Congress), Pennsylvania",42,02,2010,111th Congress
20.5,"Congressional District 1 (111th Congress), Alabama",01,01,2010,111th Congress
19.3,"Congressional District 2 (111th Congress), Alabama",01,02,2010,111th Congress
19.5,"Congressional District 3 (111th Congress), Alabama",01,03,2010,111th Congress
13.1,"Congressional District 4 (111th Congress), Alabama",01,04,2010,111th Congress
26.7,"Congressional District 5 (111th Congress), Alabama",01,05,2010,111th Congress
33.6,"Congressional District 6 (111th Congress), Alabama",01,06,2010,111th Congress
17.1,"Congressional District 7 (111th Congress), Alabama",01,07,2010,111th Congress
27.0,"Congressional District (at Large) (111th Congress), Alaska",02,00,2010,111th Congress
19.2,"Congressional District 1 (111th Congress), Arizona",04,01,2010,111th Congress
21.9,"Congressional District 2 (111th Congress), Arizona",04,02,2010,111th Congress
33.9,"Congressional District 3 (111th Congress), Arizona",04,03,2010,111th Congress
13.6,"Congressional District 4 (111th Congress), Arizona",04,04,2010,111th Congress
43.6,"Congressional District 5 (111th Congress), Arizona",04,05,2010,111th Congress
28.5,"Congressional District 6 (111th Congress), Arizona",04,06,2010,111th Congress
15.3,"Congressional District 7 (111th Congress), Arizona",04,07,2010,111th Congress
34.1,"Congressional District 8 (111th Congress), Arizona",04,08,2010,111th Congress
13.7,"Congressional District 1 (111th Congress), Arkansas",05,01,2010,111th Congress
25.8,"Congressional District 2 (111th Congress), Arkansas",05,02,2010,111th Congress
21.3,"Congressional District 3 (111th Congress), Arkansas",05,03,2010,111th Congress
15.0,"Congressional District 4 (111th Congress), Arkansas",05,04,2010,111th Congress
28.4,"Congressional District 1 (111th Congress), California",06,01,2010,111th Congress
20.4,"Congressional District 2 (111th Congress), California",06,02,2010,111th Congress
29.0,"Congressional District 3 (111th Congress), California",06,03,2010,111th Congress
29.6,"Congressional District 4 (111th Congress), California",06,04,2010,111th Congress
25.4,"Congressional District 5 (111th Congress), California",06,05,2010,111th Congress
40.5,"Congressional District 6 (111th Congress), California",06,06,2010,111th Congress
25.5,"Congressional District 7 (111th Congress), California",06,07,2010,111th Congress
50.1,"Congressional District 8 (111th Congress), California",06,08,2010,111th Congress
42.6,"Congressional District 9 (111th Congress), California",06,09,2010,111th Congress
39.4,"Congressional District 10 (111th Congress), California",06,10,2010,111th Congress
32.2,"Congressional District 11 (111th Congress), California",06,11,2010,111th Congress
46.3,"Congressional District 12 (111th Congress), California",06,12,2010,111th Congress
36.9,"Congressional District 13 (111th Congress), California",06,13,2010,111th Congress
57.0,"Congressional District 14 (111th Congress), California",06,14,2010,111th Congress
46.6,"Congressional District 15 (111th Congress), California",06,15,2010,111th Congress
32.1,"Congressional District 16 (111th Congress), California",06,16,2010,111th Congress
26.3,"Congressional District 17 (111th Congress), California",06,17,2010,111th Congress
10.7,"Congressional District 18 (111th Congress), California",06,18,2010,111th Congress
21.6,"Congressional District 19 (111th Congress), California",06,19,2010,111th Congress
7.4,"Congressional District 20 (111th Congress), California",06,20,2010,111th Congress
17.6,"Congressional District 21 (111th Congress), California",06,21,2010,111th Congress
20.4,"Congressional District 22 (111th Congress), California",06,22,2010,111th Congress
27.8,"Congressional District 23 (111th Congress), California",06,23,2010,111th Congress
34.3,"Congressional District 24 (111th Congress), California",06,24,2010,111th Congress
21.2,"Congressional District 25 (111th Congress), California",06,25,2010,111th Congress
36.7,"Congressional District 26 (111th Congress), California",06,26,2010,111th Congress
29.6,"Congressional District 27 (111th Congress), California",06,27,2010,111th Congress
27.5,"Congressional District 28 (111th Congress), California",06,28,2010,111th Congress
38.5,"Congressional District 29 (111th Congress), California",06,29,2010,111th Congress
59.7,"Congressional District 30 (111th Congress), California",06,30,2010,111th Congress
20.0,"Congressional District 31 (111th Congress), California",06,31,2010,111th Congress
17.0,"Congressional District 32 (111th Congress), California",06,32,2010,111th Congress
33.1,"Congressional District 33 (111th Congress), California",06,33,2010,111th Congress
11.7,"Congressional District 34 (111th Congress), California",06,34,2010,111th Congress
17.0,"Congressional District 35 (111th Congress), California",06,35,2010,111th Congress
43.2,"Congressional District 36 (111th Congress), California",06,36,2010,111th Congress
19.2,"Congressional District 37 (111th Congress), California",06,37,2010,111th Congress
15.0,"Congressional District 38 (111th Congress), California",06,38,2010,111th Congress
16.9,"Congressional District 39 (111th Congress), California",06,39,2010,111th Congress
31.2,"Congressional District 40 (111th Congress), California",06,40,2010,111th Congress
20.0,"Congressional District 41 (111th Congress), California",06,41,2010,111th Congress
38.7,"Congressional District 42 (111th Congress), California",06,42,2010,111th Congress
11.5,"Congressional District 43 (111th Congress), California",06,43,2010,111th Congress
25.8,"Congressional District 44 (111th Congress), California",06,44,2010,111th Congress
21.1,"Congressional District 45 (111th Congress), California",06,45,2010,111th Congress
40.5,"Congressional District 46 (111th Congress), California",06,46,2010,111th Congress
13.5,"Congressional District 47 (111th Congress), California",06,47,2010,111th Congress
52.6,"Congressional District 48 (111th Congress), California",06,48,2010,111th Congress
23.1,"Congressional District 49 (111th Congress), California",06,49,2010,111th Congress
45.4,"Congressional District 50 (111th Congress), California",06,50,2010,111th Congress
18.2,"Congressional District 51 (111th Congress), California",06,51,2010,111th Congress
32.3,"Congressional District 52 (111th Congress), California",06,52,2010,111th Congress
39.1,"Congressional District 53 (111th Congress), California",06,53,2010,111th Congress
39.7,"Congressional District 1 (111th Congress), Colorado",08,01,2010,111th Congress
41.7,"Congressional District 2 (111th Congress), Colorado",08,02,2010,111th Congress
26.7,"Congressional District 3 (111th Congress), Colorado",08,03,2010,111th Congress
32.0,"Congressional District 4 (111th Congress), Colorado",08,04,2010,111th Congress
33.1,"Congressional District 5 (111th Congress), Colorado",08,05,2010,111th Congress
48.8,"Congressional District 6 (111th Congress), Colorado",08,06,2010,111th Congress
27.5,"Congressional District 7 (111th Congress), Colorado",08,07,2010,111th Congress
32.1,"Congressional District 1 (111th Congress), Connecticut",09,01,2010,111th Congress
32.6,"Congressional District 2 (111th Congress), Connecticut",09,02,2010,111th Congress
32.1,"Congressional District 3 (111th Congress), Connecticut",09,03,2010,111th Congress
45.9,"Congressional District 4 (111th Congress), Connecticut",09,04,2010,111th Congress
33.6,"Congressional District 5 (111th Congress), Connecticut",09,05,2010,111th Congress
27.7,"Congressional District (at Large) (111th Congress), Delaware",10,00,2010,111th Congress
49.2,"Delegate District (at Large) (111th Congress), District of Columbia",11,98,2010,111th Congress
22.7,"Congressional District 1 (111th Congress), Florida",12,01,2010,111th Congress
25.3,"Congressional District 2 (111th Congress), Florida",12,02,2010,111th Congress
14.9,"Congressional District 3 (111th Congress), Florida",12,03,2010,111th Congress
27.2,"Congressional District 4 (111th Congress), Florida",12,04,2010,111th Congress
19.3,"Congressional District 5 (111th Congress), Florida",12,05,2010,111th Congress
24.3,"Congressional District 6 (111th Congress), Florida",12,06,2010,111th Congress
28.3,"Congressional District 7 (111th Congress), Florida",12,07,2010,111th Congress
29.7,"Congressional District 8 (111th Congress), Florida",12,08,2010,111th Congress
29.4,"Congressional District 9 (111th Congress), Florida",12,09,2010,111th Congress
26.9,"Congressional District 10 (111th Congress), Florida",12,10,2010,111th Congress
24.4,"Congressional District 11 (111th Congress), Florida",12,11,2010,111th Congress
20.0,"Congressional District 12 (111th Congress), Florida",12,12,2010,111th Congress
26.8,"Congressional District 13 (111th Congress), Florida",12,13,2010,111th Congress
27.5,"Congressional District 14 (111th Congress), Florida",12,14,2010,111th Congress
24.8,"Congressional District 15 (111th Congress), Florida",12,15,2010,111th Congress
22.5,"Congressional District 16 (111th Congress), Florida",12,16,2010,111th Congress
17.0,"Congressional District 17 (111th Congress), Florida",12,17,2010,111th Congress
31.0,"Congressional District 18 (111th Congress), Florida",12,18,2010,111th Congress
30.9,"Congressional District 19 (111th Congress), Florida",12,19,2010,111th Congress
36.5,"Congressional District 20 (111th Congress), Florida",12,20,2010,111th Congress
27.1,"Congressional District 21 (111th Congress), Florida",12,21,2010,111th Congress
37.9,"Congressional District 22 (111th Congress), Florida",12,22,2010,111th Congress
16.6,"Congressional District 23 (111th Congress), Florida",12,23,2010,111th Congress
28.8,"Congressional District 24 (111th Congress), Florida",12,24,2010,111th Congress
24.5,"Congressional District 25 (111th Congress), Florida",12,25,2010,111th Congress
19.3,"Congressional District 1 (111th Congress), Georgia",13,01,2010,111th Congress
14.5,"Congressional District 2 (111th Congress), Georgia",13,02,2010,111th Congress
24.9,"Congressional District 3 (111th Congress), Georgia",13,03,2010,111th Congress
29.4,"Congressional District 4 (111th Congress), Georgia",13,04,2010,111th Congress
44.8,"Congressional District 5 (111th Congress), Georgia",13,05,2010,111th Congress
52.9,"Congressional District 6 (111th Congress), Georgia",13,06,2010,111th Congress
33.6,"Congressional District 7 (111th Congress), Georgia",13,07,2010,111th Congress
18.0,"Congressional District 8 (111th Congress), Georgia",13,08,2010,111th Congress
21.0,"Congressional District 9 (111th Congress), Georgia",13,09,2010,111th Congress
25.3,"Congressional District 10 (111th Congress), Georgia",13,10,2010,111th Congress
25.1,"Congressional District 11 (111th Congress), Georgia",13,11,2010,111th Congress
16.2,"Congressional District 12 (111th Congress), Georgia",13,12,2010,111th Congress
26.1,"Congressional District 13 (111th Congress), Georgia",13,13,2010,111th Congress
32.5,"Congressional District 1 (111th Congress), Hawaii",15,01,2010,111th Congress
26.3,"Congressional District 2 (111th Congress), Hawaii",15,02,2010,111th Congress
23.5,"Congressional District 1 (111th Congress), Idaho",16,01,2010,111th Congress
25.2,"Congressional District 2 (111th Congress), Idaho",16,02,2010,111th Congress
22.0,"Congressional District 1 (111th Congress), Illinois",17,01,2010,111th Congress
20.8,"Congressional District 2 (111th Congress), Illinois",17,02,2010,111th Congress
23.7,"Congressional District 3 (111th Congress), Illinois",17,03,2010,111th Congress
21.8,"Congressional District 4 (111th Congress), Illinois",17,04,2010,111th Congress
39.9,"Congressional District 5 (111th Congress), Illinois",17,05,2010,111th Congress
37.8,"Congressional District 6 (111th Congress), Illinois",17,06,2010,111th Congress
40.1,"Congressional District 7 (111th Congress), Illinois",17,07,2010,111th Congress
36.4,"Congressional District 8 (111th Congress), Illinois",17,08,2010,111th Congress
44.4,"Congressional District 9 (111th Congress), Illinois",17,09,2010,111th Congress
51.2,"Congressional District 10 (111th Congress), Illinois",17,10,2010,111th Congress
21.8,"Congressional District 11 (111th Congress), Illinois",17,11,2010,111th Congress
20.7,"Congressional District 12 (111th Congress), Illinois",17,12,2010,111th Congress
46.0,"Congressional District 13 (111th Congress), Illinois",17,13,2010,111th Congress
30.5,"Congressional District 14 (111th Congress), Illinois",17,14,2010,111th Congress
26.9,"Congressional District 15 (111th Congress), Illinois",17,15,2010,111th Congress
24.3,"Congressional District 16 (111th Congress), Illinois",17,16,2010,111th Congress
17.7,"Congressional District 17 (111th Congress), Illinois",17,17,2010,111th Congress
24.5,"Congressional District 18 (111th Congress), Illinois",17,18,2010,111th Congress
20.7,"Congressional District 19 (111th Congress), Illinois",17,19,2010,111th Congress
19.7,"Congressional District 1 (111th Congress), Indiana",18,01,2010,111th Congress
19.2,"Congressional District 2 (111th Congress), Indiana",18,02,2010,111th Congress
21.8,"Congressional District 3 (111th Congress), Indiana",18,03,2010,111th Congress
26.6,"Congressional District 4 (111th Congress), Indiana",18,04,2010,111th Congress
35.1,"Congressional District 5 (111th Congress), Indiana",18,05,2010,111th Congress
16.9,"Congressional District 6 (111th Congress), Indiana",18,06,2010,111th Congress
22.8,"Congressional District 7 (111th Congress), Indiana",18,07,2010,111th Congress
17.8,"Congressional District 8 (111th Congress), Indiana",18,08,2010,111th Congress
19.7,"Congressional District 9 (111th Congress), Indiana",18,09,2010,111th Congress
23.5,"Congressional District 1 (111th Congress), Iowa",19,01,2010,111th Congress
27.9,"Congressional District 2 (111th Congress), Iowa",19,02,2010,111th Congress
27.9,"Congressional District 3 (111th Congress), Iowa",19,03,2010,111th Congress
24.2,"Congressional District 4 (111th Congress), Iowa",19,04,2010,111th Congress
18.6,"Congressional District 5 (111th Congress), Iowa",19,05,2010,111th Congress
20.0,"Congressional District 1 (111th Congress), Kansas",20,01,2010,111th Congress
26.8,"Congressional District 2 (111th Congress), Kansas",20,02,2010,111th Congress
43.5,"Congressional District 3 (111th Congress), Kansas",20,03,2010,111th Congress
25.5,"Congressional District 4 (111th Congress), Kansas",20,04,2010,111th Congress
13.9,"Congressional District 1 (111th Congress), Kentucky",21,01,2010,111th Congress
16.3,"Congressional District 2 (111th Congress), Kentucky",21,02,2010,111th Congress
29.0,"Congressional District 3 (111th Congress), Kentucky",21,03,2010,111th Congress
22.0,"Congressional District 4 (111th Congress), Kentucky",21,04,2010,111th Congress
11.5,"Congressional District 5 (111th Congress), Kentucky",21,05,2010,111th Congress
28.5,"Congressional District 6 (111th Congress), Kentucky",21,06,2010,111th Congress
29.0,"Congressional District 1 (111th Congress), Louisiana",22,01,2010,111th Congress
21.9,"Congressional District 2 (111th Congress), Louisiana",22,02,2010,111th Congress
13.4,"Congressional District 3 (111th Congress), Louisiana",22,03,2010,111th Congress
18.5,"Congressional District 4 (111th Congress), Louisiana",22,04,2010,111th Congress
17.1,"Congressional District 5 (111th Congress), Louisiana",22,05,2010,111th Congress
26.7,"Congressional District 6 (111th Congress), Louisiana",22,06,2010,111th Congress
18.9,"Congressional District 7 (111th Congress), Louisiana",22,07,2010,111th Congress
32.2,"Congressional District 1 (111th Congress), Maine",23,01,2010,111th Congress
20.7,"Congressional District 2 (111th Congress), Maine",23,02,2010,111th Congress
31.2,"Congressional District 1 (111th Congress), Maryland",24,01,2010,111th Congress
24.3,"Congressional District 2 (111th Congress), Maryland",24,02,2010,111th Congress
42.4,"Congressional District 3 (111th Congress), Maryland",24,03,2010,111th Congress
35.9,"Congressional District 4 (111th Congress), Maryland",24,04,2010,111th Congress
32.4,"Congressional District 5 (111th Congress), Maryland",24,05,2010,111th Congress
29.0,"Congressional District 6 (111th Congress), Maryland",24,06,2010,111th Congress
33.8,"Congressional District 7 (111th Congress), Maryland",24,07,2010,111th Congress
55.7,"Congressional District 8 (111th Congress), Maryland",24,08,2010,111th Congress
29.1,"Congressional District 1 (111th Congress), Massachusetts",25,01,2010,111th Congress
28.0,"Congressional District 2 (111th Congress), Massachusetts",25,02,2010,111th Congress
36.9,"Congressional District 3 (111th Congress), Massachusetts",25,03,2010,111th Congress
39.9,"Congressional District 4 (111th Congress), Massachusetts",25,04,2010,111th Congress
38.0,"Congressional District 5 (111th Congress), Massachusetts",25,05,2010,111th Congress
40.7,"Congressional District 6 (111th Congress), Massachusetts",25,06,2010,111th Congress
44.6,"Congressional District 7 (111th Congress), Massachusetts",25,07,2010,111th Congress
46.5,"Congressional District 8 (111th Congress), Massachusetts",25,08,2010,111th Congress
39.6,"Congressional District 9 (111th Congress), Massachusetts",25,09,2010,111th Congress
39.6,"Congressional District 10 (111th Congress), Massachusetts",25,10,2010,111th Congress
18.6,"Congressional District 1 (111th Congress), Michigan",26,01,2010,111th Congress
21.1,"Congressional District 2 (111th Congress), Michigan",26,02,2010,111th Congress
27.8,"Congressional District 3 (111th Congress), Michigan",26,03,2010,111th Congress
21.2,"Congressional District 4 (111th Congress), Michigan",26,04,2010,111th Congress
17.6,"Congressional District 5 (111th Congress), Michigan",26,05,2010,111th Congress
24.0,"Congressional District 6 (111th Congress), Michigan",26,06,2010,111th Congress
22.3,"Congressional District 7 (111th Congress), Michigan",26,07,2010,111th Congress
32.0,"Congressional District 8 (111th Congress), Michigan",26,08,2010,111th Congress
47.6,"Congressional District 9 (111th Congress), Michigan",26,09,2010,111th Congress
21.1,"Congressional District 10 (111th Congress), Michigan",26,10,2010,111th Congress
33.6,"Congressional District 11 (111th Congress), Michigan",26,11,2010,111th Congress
22.6,"Congressional District 12 (111th Congress), Michigan",26,12,2010,111th Congress
15.6,"Congressional District 13 (111th Congress), Michigan",26,13,2010,111th Congress
16.2,"Congressional District 14 (111th Congress), Michigan",26,14,2010,111th Congress
29.7,"Congressional District 15 (111th Congress), Michigan",26,15,2010,111th Congress
24.8,"Congressional District 1 (111th Congress), Minnesota",27,01,2010,111th Congress
36.0,"Congressional District 2 (111th Congress), Minnesota",27,02,2010,111th Congress
43.4,"Congressional District 3 (111th Congress), Minnesota",27,03,2010,111th Congress
37.3,"Congressional District 4 (111th Congress), Minnesota",27,04,2010,111th Congress
40.9,"Congressional District 5 (111th Congress), Minnesota",27,05,2010,111th Congress
29.2,"Congressional District 6 (111th Congress), Minnesota",27,06,2010,111th Congress
19.7,"Congressional District 7 (111th Congress), Minnesota",27,07,2010,111th Congress
20.8,"Congressional District 8 (111th Congress), Minnesota",27,08,2010,111th Congress
17.3,"Congressional District 1 (111th Congress), Mississippi",28,01,2010,111th Congress
18.4,"Congressional District 2 (111th Congress), Mississippi",28,02,2010,111th Congress
23.2,"Congressional District 3 (111th Congress), Mississippi",28,03,2010,111th Congress
18.8,"Congressional District 4 (111th Congress), Mississippi",28,04,2010,111th Congress
25.4,"Congressional District 1 (111th Congress), Missouri",29,01,2010,111th Congress
41.9,"Congressional District 2 (111th Congress), Missouri",29,02,2010,111th Congress
28.4,"Congressional District 3 (111th Congress), Missouri",29,03,2010,111th Congress
17.8,"Congressional District 4 (111th Congress), Missouri",29,04,2010,111th Congress
26.2,"Congressional District 5 (111th Congress), Missouri",29,05,2010,111th Congress
25.2,"Congressional District 6 (111th Congress), Missouri",29,06,2010,111th Congress
22.0,"Congressional District 7 (111th Congress), Missouri",29,07,2010,111th Congress
14.4,"Congressional District 8 (111th Congress), Missouri",29,08,2010,111th Congress
23.6,"Congressional District 9 (111th Congress), Missouri",29,09,2010,111th Congress
27.9,"Congressional District (at Large) (111th Congress), Montana",30,00,2010,111th Congress
27.9,"Congressional District 1 (111th Congress), Nebraska",31,01,2010,111th Congress
35.3,"Congressional District 2 (111th Congress), Nebraska",31,02,2010,111th Congress
19.4,"Congressional District 3 (111th Congress), Nebraska",31,03,2010,111th Congress
20.7,"Congressional District 3 (111th Congress), Pennsylvania",42,03,2010,111th Congress
32.6,"Congressional District 4 (111th Congress), Pennsylvania",42,04,2010,111th Congress
19.6,"Congressional District 5 (111th Congress), Pennsylvania",42,05,2010,111th Congress
39.6,"Congressional District 6 (111th Congress), Pennsylvania",42,06,2010,111th Congress
41.2,"Congressional District 7 (111th Congress), Pennsylvania",42,07,2010,111th Congress
33.8,"Congressional District 8 (111th Congress), Pennsylvania",42,08,2010,111th Congress
15.8,"Congressional District 9 (111th Congress), Pennsylvania",42,09,2010,111th Congress
20.1,"Congressional District 10 (111th Congress), Pennsylvania",42,10,2010,111th Congress
19.6,"Congressional District 11 (111th Congress), Pennsylvania",42,11,2010,111th Congress
16.8,"Congressional District 12 (111th Congress), Pennsylvania",42,12,2010,111th Congress
33.2,"Congressional District 13 (111th Congress), Pennsylvania",42,13,2010,111th Congress
27.1,"Congressional District 14 (111th Congress), Pennsylvania",42,14,2010,111th Congress
26.6,"Congressional District 15 (111th Congress), Pennsylvania",42,15,2010,111th Congress
26.1,"Congressional District 16 (111th Congress), Pennsylvania",42,16,2010,111th Congress
20.4,"Congressional District 17 (111th Congress), Pennsylvania",42,17,2010,111th Congress
33.9,"Congressional District 18 (111th Congress), Pennsylvania",42,18,2010,111th Congress
24.6,"Congressional District 19 (111th Congress), Pennsylvania",42,19,2010,111th Congress
30.9,"Congressional District 1 (111th Congress), Rhode Island",44,01,2010,111th Congress
29.8,"Congressional District 2 (111th Congress), Rhode Island",44,02,2010,111th Congress
29.0,"Congressional District 1 (111th Congress), South Carolina",45,01,2010,111th Congress
32.1,"Congressional District 2 (111th Congress), South Carolina",45,02,2010,111th Congress
20.1,"Congressional District 3 (111th Congress), South Carolina",45,03,2010,111th Congress
25.4,"Congressional District 4 (111th Congress), South Carolina",45,04,2010,111th Congress
18.4,"Congressional District 5 (111th Congress), South Carolina",45,05,2010,111th Congress
16.6,"Congressional District 6 (111th Congress), South Carolina",45,06,2010,111th Congress
25.3,"Congressional District (at Large) (111th Congress), South Dakota",46,00,2010,111th Congress
17.4,"Congressional District 1 (111th Congress), Tennessee",47,01,2010,111th Congress
27.1,"Congressional District 2 (111th Congress), Tennessee",47,02,2010,111th Congress
21.3,"Congressional District 3 (111th Congress), Tennessee",47,03,2010,111th Congress
14.1,"Congressional District 4 (111th Congress), Tennessee",47,04,2010,111th Congress
31.2,"Congressional District 5 (111th Congress), Tennessee",47,05,2010,111th Congress
19.6,"Congressional District 6 (111th Congress), Tennessee",47,06,2010,111th Congress
33.8,"Congressional District 7 (111th Congress), Tennessee",47,07,2010,111th Congress
15.4,"Congressional District 8 (111th Congress), Tennessee",47,08,2010,111th Congress
23.4,"Congressional District 9 (111th Congress), Tennessee",47,09,2010,111th Congress
19.2,"Congressional District 1 (111th Congress), Texas",48,01,2010,111th Congress
