,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
60,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
61,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
62,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.6523,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
63,Louisiana,4,"Johnson, Mike","Jones, Marshall",0.4669,False,False,22,0.39736,0.43,False,True,10.590314804351253,2016,0.398072075,,,,,
64,California,21,"Valadao, David","Huerta, Emilio Jesus",0.5674,True,False,6,0.30056,0.6,False,True,10.625562268169254,2016,0.463209894,,,0.6297999999999999,0.2557,71.5
65,California,20,"Lucius, Casey","Panetta, Jimmy",0.2925,False,False,6,0.36579,0.6,False,True,11.118682156284102,2016,0.438904477,,,,0.7382,
66,California,19,"Lancaster, G. Burt","Lofgren, Zoe",0.2606,False,True,6,0.57096,0.6,False,True,11.44184827995307,2016,0.47937681,,,,0.7603,71.7
67,California,19,"Lancaster, G. Burt","Lofgren, Zoe",0.2606,False,True,6,0.57096,0.6,False,True,11.44184827995307,2016,0.47937681,,,,0.2397,71.7
68,South Carolina,2,"Wilson, Joe","Bjorn, Arik",0.6267,True,False,45,0.29774,0.43,False,True,10.955235321790287,2016,,,False,0.8161,0.5418999999999999,71.2
69,Maryland,5,"Arness, Mark Kenneth","Hoyer, Steny H.",0.3036,False,True,24,0.50993,0.59,False,True,11.466274012126416,2016,0.699562661,False,,0.41600000000000004,1.0,75.8
70,Maryland,6,"Hoeber, Amie","Delaney, John",0.4174,False,True,24,0.30556,0.59,False,True,11.235510504874226,2016,0.566437479,,,0.8353,1.0,75.7
71,Maryland,7,"Vaughn, Corrogan R.","Cummings, Elijah E.",0.2255,False,True,24,0.6410600000000001,0.59,False,True,11.025034812486734,2016,0.6850308890000001,False,,0.5478000000000001,0.9059,71.2
72,Maryland,8,"Cox, Dan","Raskin, Jamie",0.361,False,False,24,0.33041,0.59,False,True,11.502784215893335,2016,0.808334817,,,1.0,0.9128000000000001,
73,Massachusetts,3,"Wofford, Roseann Ehrhard","Tsongas, Nicola S.",0.3123,False,True,25,0.2072,0.59,False,True,11.26440000105297,2016,0.60157009,,,0.9934000000000001,0.9898,76.5
74,Massachusetts,4,"Rosa, David A.","Kennedy, Joseph Patrick III",0.2984,False,True,25,0.14169,0.59,False,True,11.49811634931652,2016,0.60080399,,,,0.9921,76.9
75,Massachusetts,8,"Burke, William","Lynch, Stephen F.",0.2749,False,True,25,0.24441999999999997,0.59,False,True,11.318527278350814,2016,0.6785371109999999,False,,,0.9903,72.4
76,Massachusetts,9,"Alliegro, Mark C.","Keating, William R.",0.3763,False,True,25,0.12043,0.59,False,True,11.129803871016513,2016,0.6238928810000001,False,,0.3235,0.992,72.8
77,South Carolina,7,"Rice, Tom","Hyman, Mal",0.6102000000000001,True,False,45,0.33225,0.43,False,True,,2016,,,,1.0,1.0,
78,South Carolina,6,"Sterling, Laura","Clyburn, James E.",0.2826,False,True,45,0.61943,0.43,False,True,10.471524922053229,2016,,False,,0.6648999999999999,0.8598,70.7
79,South Carolina,5,"Mulvaney, Mick","Person, Francis",0.6038,True,False,45,0.31889,0.43,False,True,10.79431687637241,2016,,,False,1.0,1.0,72.6
80,South Carolina,4,"Gowdy, Trey","Fedalei, Christopher",0.6842,True,False,45,0.25863,0.43,False,True,10.853561162377853,2016,,,False,1.0,,72.6
81,South Carolina,3,"Duncan, Jeff","Cleveland, Hosea",0.7290000000000001,True,False,45,0.22734000000000001,0.43,False,True,10.715350666801058,2016,,,False,1.0,0.6661,71.9
82,South Carolina,1,"Sanford, Marshall Clement Jr.","Cherny, Dimitri",0.6139,True,False,45,0.2444,0.43,False,True,11.081727077966303,2016,,,,1.0,,71.7
83,California,18,"Fox, Richard B.","Eshoo, Anna G.",0.28850000000000003,False,True,6,0.38082,0.6,False,True,11.742369128832918,2016,0.505021747,,,0.2255,0.6761,71.1
84,Michigan,1,"Bergman, Jack","Johnson, Lonnie Barton",0.5781000000000001,False,False,26,0.07744,0.51,False,True,10.756348481750502,2016,0.47007120799999996,,,0.6973999999999999,1.0,
85,Michigan,2,"Huizenga, Bill","Murphy, Dennis B.",0.6581,True,False,26,0.15283,0.51,False,True,10.876517721602884,2016,0.44349828799999996,,False,1.0,1.0,65.4
86,Arkansas,2,"Hill, French","Curry, Dianne",0.6131,True,False,5,0.28994000000000003,0.37,False,True,10.809687543700113,2016,0.43643818799999995,,,0.5508,1.0,79.08570999999999
87,Michigan,3,"Amash, Justin","Smith, Douglas",0.6132,True,False,26,0.15804,0.51,False,True,10.966921612854625,2016,0.45417140100000003,,False,0.5744,1.0,67.5
