state,district,winner party,winner prob
Alabama,01,R,0.943735680600744
Alabama,02,R,0.8778682405712199
Alabama,03,R,0.9539407994650163
Alabama,04,R,0.9950659096371395
Alabama,05,R,0.9886028452298751
Alabama,06,R,0.9950470921115762
Alabama,07,D,1.0
Alaska,00,R,0.9062121756525869
Arizona,01,R,0.8117624805932662
Arizona,02,D,0.9991405430853268
Arizona,03,D,0.9554761691284344
Arizona,04,R,0.9999986936241418
Arizona,05,R,0.972224960352527
Arizona,06,R,0.9999487527657399
Arizona,07,D,1.0
Arizona,08,R,0.98467299319695
Arizona,09,R,0.6050463295823869
Arkansas,01,R,0.9999996387758275
Arkansas,02,R,0.9987307682804515
Arkansas,03,R,0.9996799636469027
Arkansas,04,R,0.9999904995703022
California,01,R,0.8602091808211925
California,02,D,0.8912305910516055
California,03,D,0.9121682094995163
California,04,R,0.8579361431696088
California,05,D,1.0
California,06,D,1.0
California,07,D,0.9660506175905063
California,08,R,1.0
California,09,D,0.9703316318818261
California,10,D,0.7081001207178349
California,11,D,0.9847754998906748
California,12,D,0.9997504868790468
California,13,D,1.0
California,14,D,0.9993852671143975
California,15,D,0.9984107825122176
California,16,D,0.9810375447694943
California,17,D,0.9999985799894155
California,18,D,0.9967560045506721
California,19,D,0.9981355445856323
California,20,D,1.0
California,21,R,0.9447649291173468
California,22,R,0.9999257893001104
California,23,R,0.709873207677359
California,24,D,0.7035063482361035
California,25,D,0.5623139336050778
California,26,D,0.7666372890674795
California,27,D,1.0
California,28,D,0.9864267835666883
California,29,D,0.9678437747684014
California,30,D,0.9689917423653839
California,31,D,0.951868423770647
California,32,D,0.9975731431229918
California,33,D,0.9904698972745357
California,34,D,1.0
California,35,D,0.9902892876679168
California,36,D,0.9080110807513808
California,37,D,0.9998150759219132
California,38,D,0.9966323821222351
California,39,D,0.9277574751190164
California,40,D,1.0
California,41,D,0.9912266685004587
California,42,R,0.6120538314771915
California,43,D,0.9998484114663334
California,44,D,1.0
California,45,D,0.7103746121829051
California,46,D,0.9381674806466922
California,47,D,0.9917508921424089
California,48,R,0.7143542154923825
California,49,D,0.9974786752706696
