district,year,full_name,ranks
CALIFORNIA 49,2010,Darrell E. Issa,137
CALIFORNIA 49,2010,Howard Katz,188
CALIFORNIA 50,2010,Brian P. Bilbray,8
CALIFORNIA 50,2010,Francine Busby,500
CALIFORNIA 51,2010,Nick Popaditch,51
CALIFORNIA 51,2010,Bob Filner,7
CALIFORNIA 52,2010,Duncan Hunter,500
CALIFORNIA 52,2010,Ray Lutz,500
CALIFORNIA 53,2010,Michael Crimmins,1
CALIFORNIA 53,2010,Susan A. Davis,27
COLORADO 1,2010,Mike Fallon,1
COLORADO 1,2010,Diana DeGette,97
COLORADO 2,2010,Stephen Bailey,33
COLORADO 2,2010,Jared Polis,113
COLORADO 3,2010,Scott R. Tipton,17
COLORADO 3,2010,John T. Salazar,6
COLORADO 4,2010,Cory Gardner,99
COLORADO 4,2010,Betsy Markey,500
COLORADO 5,2010,Doug Lamborn,50
COLORADO 5,2010,Kevin Bradley,13
COLORADO 6,2010,Mike Coffman,1
COLORADO 6,2010,John Flerlage,6
COLORADO 7,2010,Ryan Frazier,25
COLORADO 7,2010,Ed Perlmutter,40
CONNECTICUT 1,2010,Ann Brickley,100
CONNECTICUT 1,2010,John B. Larson,6
CONNECTICUT 2,2010,Janet Peckinpaugh,125
CONNECTICUT 2,2010,Joe Courtney,107
CONNECTICUT 3,2010,"Jerry Labriola, Jr.",63
CONNECTICUT 3,2010,Rosa L. DeLauro,500
CONNECTICUT 4,2010,Dan Debicella,12
CONNECTICUT 4,2010,James A. Himes,5
CONNECTICUT 5,2010,Sam S. F. Caligiuri,64
CONNECTICUT 5,2010,Christopher S. Murphy,2
DELAWARE 1,2010,Glen Urquhart,500
DELAWARE 1,2010,"John C. Carney, Jr.",6
FLORIDA 1,2010,Jeff Miller,192
FLORIDA 2,2010,Steve Southerland,159
FLORIDA 2,2010,Allen Boyd,130
FLORIDA 3,2010,Michael ‘‘Mike’’ Yost,1
FLORIDA 3,2010,Corrine Brown,500
FLORIDA 4,2010,Ander Crenshaw,500
FLORIDA 5,2010,Richard B. ‘‘Rich’’ Nugent,16
FLORIDA 5,2010,James ‘‘Jim’’ Piccillo,5
FLORIDA 6,2010,Cliff Stearns,500
FLORIDA 7,2010,John L. Mica,6
FLORIDA 7,2010,Heather Beaven,8
FLORIDA 8,2010,Daniel Webster,12
FLORIDA 8,2010,Alan Grayson,110
FLORIDA 9,2010,Gus M. Bilirakis,500
FLORIDA 9,2010,Anita de Palma,154
FLORIDA 10,2010,C. W. Bill Young,500
FLORIDA 10,2010,Charlie Justice,23
FLORIDA 11,2010,Mike Prendergast,1
FLORIDA 11,2010,Kathy Castor,134
FLORIDA 12,2010,Dennis A. Ross,59
FLORIDA 12,2010,Lori Edwards,32
FLORIDA 13,2010,Vern Buchanan,500
FLORIDA 13,2010,James T. Golden,5
FLORIDA 14,2010,Connie Mack,160
FLORIDA 14,2010,James Lloyd Roach,5
FLORIDA 15,2010,Bill Posey,9
FLORIDA 15,2010,Shannon Roberts,21
FLORIDA 15,2010,Shannon Roberts,111
FLORIDA 16,2010,Thomas J. Rooney,20
FLORIDA 16,2010,Jim Horn,5
FLORIDA 17,2010,Frederica S. Wilson,500
FLORIDA 18,2010,Ileana Ros-Lehtinen,500
FLORIDA 18,2010,Rolando A. Banciella,500
FLORIDA 19,2010,Joe Budd,107
FLORIDA 19,2010,Theodore E. Deutch,181
FLORIDA 20,2010,Karen Harrington,25
FLORIDA 20,2010,Debbie Wasserman Schultz,61
FLORIDA 21,2010,Mario Diaz-Balart,134
FLORIDA 22,2010,Allen West,130
FLORIDA 22,2010,Ron Klein,43
FLORIDA 23,2010,Bernard Sansaricq,500
FLORIDA 23,2010,Alcee L. Hastings,500
FLORIDA 24,2010,Sandra ‘‘Sandy’’ Adams,44
FLORIDA 24,2010,Suzanne M. Kosmas,107
FLORIDA 25,2010,David Rivera,4
FLORIDA 25,2010,Joe Garcia,107
GEORGIA 1,2010,Jack Kingston,146
GEORGIA 1,2010,Oscar L. Harris II,197
GEORGIA 2,2010,Mike Keown,1
GEORGIA 2,2010,"Sanford D. Bishop, Jr.",500
GEORGIA 3,2010,Lynn A. Westmoreland,164
GEORGIA 3,2010,Frank Saunders,65
GEORGIA 4,2010,Lisbeth ‘‘Liz’’ Carter,500
GEORGIA 4,2010,"Henry C. ‘‘Hank’’ Johnson, Jr.",120
GEORGIA 5,2010,Fenn Little,500
GEORGIA 5,2010,John Lewis,6
GEORGIA 6,2010,Tom Price,20
GEORGIA 7,2010,Rob Woodall,7
GEORGIA 7,2010,Doug Heckman,50
GEORGIA 8,2010,Austin Scott,500
GEORGIA 8,2010,Jim Marshall,5
GEORGIA 9,2010,Tom Graves,20
GEORGIA 10,2010,Paul C. Broun,27
GEORGIA 10,2010,Russell Edwards,81
GEORGIA 11,2010,Phil Gingrey,71
GEORGIA 12,2010,Raymond McKinney,61
GEORGIA 12,2010,John Barrow,6
GEORGIA 13,2010,Mike Crane,1
GEORGIA 13,2010,David Scott,4
HAWAII 1,2010,Charles Djou,23
HAWAII 1,2010,Colleen Hanabusa,129
HAWAII 2,2010,John W. Willoughby,6
HAWAII 2,2010,Mazie K. Hirono,500
IDAHO 1,2010,Raul R. Labrador,500
IDAHO 1,2010,Walt Minnick,500
IDAHO 2,2010,Michael K. Simpson,1
IDAHO 2,2010,Mike Crawford,1
ILLINOIS 1,2010,Raymond G. Wardingley,61
ILLINOIS 1,2010,Bobby L. Rush,93
ILLINOIS 2,2010,Isaac C. Hayes,500
ILLINOIS 2,2010,"Jesse L. Jackson, Jr.",66
ILLINOIS 3,2010,Michael A. Bendas,1
ILLINOIS 3,2010,Daniel Lipinski,12
ILLINOIS 4,2010,Israel Vasquez,500
ILLINOIS 4,2010,Luis V. Gutierrez,117
ILLINOIS 5,2010,David Ratowitz,4
ILLINOIS 5,2010,Mike Quigley,1
ILLINOIS 6,2010,Peter J. Roskam,55
ILLINOIS 6,2010,Benjamin S. Lowe,44
ILLINOIS 7,2010,Mark M. Weiman,18
ILLINOIS 7,2010,Danny K. Davis,95
ILLINOIS 8,2010,Joe Walsh,107
ILLINOIS 8,2010,Melissa L. Bean,3
ILLINOIS 9,2010,Joel Barry Pollak,75
ILLINOIS 9,2010,Janice D. Schakowsky,184
ILLINOIS 10,2010,Robert Dold,7
ILLINOIS 10,2010,Daniel J. Seals,12
ILLINOIS 11,2010,Adam Kinzinger,36
ILLINOIS 11,2010,Deborah L. Halvorson,61
ILLINOIS 12,2010,Teri Newman,500
ILLINOIS 12,2010,Jerry F. Costello,63
ILLINOIS 13,2010,Judy Biggert,500
ILLINOIS 13,2010,Scott Harper,17
ILLINOIS 14,2010,Randall M. ‘‘Randy’’ Hultgren,122
ILLINOIS 14,2010,Bill Foster,9
ILLINOIS 15,2010,Timothy V. Johnson,21
ILLINOIS 15,2010,David Gill,4
ILLINOIS 16,2010,Donald A. Manzullo,42
ILLINOIS 16,2010,George W. Gaulrapp,53
ILLINOIS 17,2010,Bobby Schilling,93
ILLINOIS 17,2010,Phil Hare,71
ILLINOIS 18,2010,Aaron Schock,35
ILLINOIS 18,2010,Deirdre ‘‘D. K.’’ Hirner,500
ILLINOIS 19,2010,John Shimkus,6
ILLINOIS 19,2010,Tim Bagwell,21
INDIANA 1,2010,Mark Leyva,18
INDIANA 1,2010,Peter J. Visclosky,55
INDIANA 2,2010,Jackie Walorski,500
INDIANA 2,2010,Joe Donnelly,107
INDIANA 3,2010,Marlin A. Stutzman,500
INDIANA 3,2010,Thomas Hayhurst,20
INDIANA 4,2010,Todd Rokita,41
INDIANA 4,2010,David Sanders,4
INDIANA 5,2010,Dan Burton,12
INDIANA 5,2010,Tim Crawford,21
INDIANA 6,2010,Mike Pence,1
INDIANA 6,2010,Barry Welsh,154
INDIANA 7,2010,Marvin B. Scott,172
INDIANA 7,2010,André Carson,500
INDIANA 8,2010,Larry D. Bucshon,58
INDIANA 8,2010,W. Trent VanHaaften,500
INDIANA 9,2010,Todd Young,41
INDIANA 9,2010,Baron P. Hill,500
IOWA 1,2010,Benjamin M. Lange,44
IOWA 1,2010,Bruce L. Braley,132
IOWA 2,2010,Mariannette Miller-Meeks,500
IOWA 2,2010,David Loebsack,4
IOWA 3,2010,Brad Zaun,123
IOWA 3,2010,Leonard L. Boswell,166
IOWA 4,2010,Tom Latham,20
IOWA 4,2010,Bill Maske,9
IOWA 5,2010,Steve King,159
IOWA 5,2010,Matthew Campbell,10
KANSAS 1,2010,Tim Huelskamp,21
KANSAS 1,2010,Alan Jilka,110
KANSAS 2,2010,Lynn Jenkins,164
KANSAS 2,2010,Cheryl Hudspeth,79
KANSAS 3,2010,Kevin Yoder,13
KANSAS 3,2010,Stephene Moore,500
KANSAS 4,2010,Mike Pompeo,1
KANSAS 4,2010,Raj Goyle,500
KENTUCKY 1,2010,Ed Whitfield,40
KENTUCKY 1,2010,Charles Kendall Hatchett,23
KENTUCKY 2,2010,Brett Guthrie,94
KENTUCKY 2,2010,Ed Marksberry,40
KENTUCKY 3,2010,Todd Lally,41
KENTUCKY 3,2010,John A. Yarmuth,6
KENTUCKY 4,2010,Geoff Davis,500
KENTUCKY 4,2010,John Waltz,6
KENTUCKY 5,2010,Harold Rogers,152
KENTUCKY 5,2010,James E. ‘‘Jim’’ Holbert,5
KENTUCKY 6,2010,Garland ‘‘Andy’’ Barr,500
KENTUCKY 6,2010,Ben Chandler,44
LOUISIANA 1,2010,Steve Scalise,159
LOUISIANA 1,2010,Myron Katz,500
LOUISIANA 2,2010,Anh ‘‘Joseph’’ Cao,500
LOUISIANA 2,2010,Cedric Richmond,500
LOUISIANA 3,2010,‘‘Jeff’’ Landry,500
LOUISIANA 3,2010,Ravi Sangisetty,500
LOUISIANA 4,2010,John Fleming,6
LOUISIANA 4,2010,David Melville,4
LOUISIANA 5,2010,Rodney Alexander,74
LOUISIANA 6,2010,Bill Cassidy,9
LOUISIANA 6,2010,"Merritt E. McDonald, Sr.",500
LOUISIANA 7,2010,"Charles W. Boustany, Jr.",23
MAINE 1,2010,Dean Peter Scontras,177
MAINE 1,2010,Chellie Pingree,500
MAINE 2,2010,Jason J. Levesque,3
MAINE 2,2010,Michael H. Michaud,1
MARYLAND 1,2010,Andy Harris,28
MARYLAND 1,2010,"Frank Kratovil, Jr.",65
MARYLAND 2,2010,Marcelo Cardarelli,500
MARYLAND 2,2010,C. A. Dutch Ruppersberger,500
MARYLAND 3,2010,Jim Wilhelm,5
MARYLAND 3,2010,John P. Sarbanes,6
MARYLAND 4,2010,Robert Broadus,7
MARYLAND 4,2010,Donna F. Edwards,64
MARYLAND 5,2010,Charles Lollar,23
MARYLAND 5,2010,Steny H. Hoyer,500
MARYLAND 6,2010,Roscoe G. Bartlett,500
MARYLAND 6,2010,Andrew Duck,28
MARYLAND 7,2010,"Frank Mirabile, Jr.",65
MARYLAND 7,2010,Elijah E. Cummings,500
MARYLAND 8,2010,Michael Lee Philips,1
MARYLAND 8,2010,Chris Van Hollen,109
MASSACHUSETTS 1,2010,"William L. Gunn, Jr.",9
MASSACHUSETTS 1,2010,John W. Olver,6
MASSACHUSETTS 2,2010,Thomas A. Wesley,20
MASSACHUSETTS 2,2010,Richard E. Neal,16
MASSACHUSETTS 3,2010,Martin A. Lamb,115
MASSACHUSETTS 3,2010,James P. McGovern,5
MASSACHUSETTS 4,2010,Sean D. M. Bielat,39
MASSACHUSETTS 4,2010,Barney Frank,500
MASSACHUSETTS 5,2010,Jonathan A. Golnik,32
MASSACHUSETTS 5,2010,Niki Tsongas,500
MASSACHUSETTS 6,2010,Bill Hudak,9
MASSACHUSETTS 6,2010,John F. Tierney,6
MASSACHUSETTS 7,2010,Gerry Dembrowski,500
MASSACHUSETTS 7,2010,Edward J. Markey,40
MASSACHUSETTS 8,2010,Michael E. Capuano,1
MASSACHUSETTS 9,2010,Vernon M. Harrison,500
MASSACHUSETTS 9,2010,Stephen F. Lynch,33
MASSACHUSETTS 10,2010,Jeffrey Davis Perry,15
MASSACHUSETTS 10,2010,William R. Keating,9
MICHIGAN 1,2010,Dan Benishek,12
MICHIGAN 1,2010,Gary McDowell,47
MICHIGAN 2,2010,Bill Huizenga,9
MICHIGAN 2,2010,Fred Johnson,500
MICHIGAN 3,2010,Justin Amash,38
MICHIGAN 3,2010,Pat Miles,37
MICHIGAN 4,2010,Dave Camp,4
MICHIGAN 4,2010,Jerry M. Campbell,63
MICHIGAN 5,2010,John Kupiec,6
MICHIGAN 5,2010,Dale E. Kildee,148
MICHIGAN 6,2010,Fred Upton,500
MICHIGAN 6,2010,Don Cooney,42
MICHIGAN 7,2010,Tim Walberg,21
MICHIGAN 7,2010,Mark H. Schauer,18
MICHIGAN 8,2010,Mike Rogers,1
MICHIGAN 8,2010,Lance Enderle,129
MICHIGAN 9,2010,Rocky Raczkowski,500
MICHIGAN 9,2010,Gary C. Peters,47
MICHIGAN 10,2010,Candice S. Miller,500
MICHIGAN 10,2010,Henry Yanez,120
MICHIGAN 11,2010,Thaddeus G. McCotter,500
MICHIGAN 11,2010,Natalie Mosher,105
MICHIGAN 12,2010,Don Volaric,42
MICHIGAN 12,2010,Sander M. Levin,500
MICHIGAN 13,2010,John Hauler,6
MICHIGAN 13,2010,Hansen Clarke,500
MICHIGAN 14,2010,Don Ukrainec,42
MICHIGAN 14,2010,"John Conyers, Jr.",6
MICHIGAN 15,2010,Rob Steele,7
MICHIGAN 15,2010,John D. Dingell,6
MICHIGAN 1,2010,Randy Demmer,77
MICHIGAN 1,2010,Timothy J. Walz,21
MICHIGAN 2,2010,John Kline,6
MICHIGAN 2,2010,Shelley Madore,168
MICHIGAN 3,2010,Erik Paulsen,87
MICHIGAN 3,2010,Jim Meffert,5
MICHIGAN 4,2010,Teresa Collett,52
MICHIGAN 4,2010,Betty McCollum,500
MICHIGAN 5,2010,Joel Demos,75
MICHIGAN 5,2010,Keith Ellison,45
MINNESOTA 6,2010,Michele Bachmann,51
MINNESOTA 6,2010,Tarryl Clark,500
MINNESOTA 7,2010,Lee Byberg,131
MINNESOTA 7,2010,Collin C. Peterson,500
MINNESOTA 8,2010,Chip Cravaack,500
MINNESOTA 8,2010,James L. Oberstar,5
MISSISSIPPI 1,2010,Alan Nunnelee,110
MISSISSIPPI 1,2010,Travis W. Childers,54
MISSISSIPPI 2,2010,Bill Marcy,9
MISSISSIPPI 2,2010,Bennie G. Thompson,500
MISSISSIPPI 3,2010,Gregg Harper,500
MISSISSIPPI 3,2010,Joel L. Gill,75
MISSISSIPPI 4,2010,Steven Palazzo,19
MISSISSIPPI 4,2010,Gene Taylor,500
MISSOURI 1,2010,Robyn Hamlin,185
MISSOURI 1,2010,Wm. Lacy Clay,500
MISSOURI 2,2010,W. Todd Akin,500
MISSOURI 2,2010,Arthur Lieber,127
MISSOURI 3,2010,Ed Martin,40
MISSOURI 3,2010,Russ Carnahan,500
MISSOURI 4,2010,Vicky Hartzler,500
MISSOURI 4,2010,Ike Skelton,500
MISSOURI 5,2010,Jacob Turk,78
MISSOURI 5,2010,Emanuel Cleaver,500
MISSOURI 6,2010,Sam Graves,64
MISSOURI 6,2010,Clint Hylton,500
MISSOURI 7,2010,Billy Long,84
MISSOURI 7,2010,Scott Eckersley,17
MISSOURI 8,2010,Jo Ann Emerson,500
MISSOURI 8,2010,Tommy Sowers,164
MISSOURI 9,2010,Blaine Luetkemeyer,500
MONTANA 1,2010,Denny Rehberg,500
MONTANA 1,2010,Dennis McDonald,59
NEBRASKA 1,2010,Jeff Fortenberry,192
NEBRASKA 1,2010,Ivy Harper,500
NEBRASKA 2,2010,Lee Terry,131
NEBRASKA 2,2010,Tom White,20
NEBRASKA 3,2010,Adrian Smith,143
NEBRASKA 3,2010,Rebekah Davis,500
NEVADA 1,2010,Kenneth A. Wegner,31
NEVADA 1,2010,Shelley Berkley,168
NEVADA 2,2010,Dean Heller,177
NEVADA 2,2010,Nancy Price,78
NEVADA 3,2010,Joseph John Heck,11
NEVADA 3,2010,Dina Titus,500
NEW HAMPSHIRE 1,2010,Frank C. Guinta,65
NEW HAMPSHIRE 1,2010,Carol Shea-Porter,130
NEW HAMPSHIRE 2,2010,Charles Bass,23
NEW HAMPSHIRE 2,2010,Ann McLane Kuster,100
NEW JERSEY 1,2010,Dale Glading,148
NEW JERSEY 1,2010,Robert E. Andrews,7
NEW JERSEY 2,2010,Frank A. LoBiondo,65
NEW JERSEY 2,2010,Gary Stein,47
NEW JERSEY 3,2010,Jon Runyan,97
NEW JERSEY 3,2010,John H. Adler,6
NEW JERSEY 4,2010,Christopher H. Smith,2
NEW JERSEY 4,2010,Howard Kleinhendler,188
NEW JERSEY 5,2010,Scott Garrett,17
NEW JERSEY 5,2010,Tod Theise,500
NEW JERSEY 6,2010,Anna C. Little,87
NEW JERSEY 6,2010,"Frank Pallone, Jr.",65
NEW JERSEY 7,2010,Leonard Lance,166
NEW JERSEY 7,2010,Ed Potosnak,40
NEW JERSEY 8,2010,Roland Straten,500
NEW JERSEY 8,2010,"Bill Pascrell, Jr.",9
NEW JERSEY 9,2010,Michael A. Agosta,1
NEW JERSEY 9,2010,Steven R. Rothman,19
NEW JERSEY 10,2010,Michael J. Alonso,1
NEW JERSEY 10,2010,Donald M. Payne,42
NEW JERSEY 11,2010,Rodney P. Frelinghuysen,74
NEW JERSEY 11,2010,Douglas Herbert,50
NEW JERSEY 12,2010,Scott Sipprelle,17
NEW JERSEY 12,2010,Rush D. Holt,500
NEW JERSEY 13,2010,Henrietta Dwyer,500
NEW JERSEY 13,2010,Albio Sires,500
NEW MEXICO 1,2010,Jonathan L. Barela,32
NEW MEXICO 1,2010,Martin Heinrich,115
NEW MEXICO 2,2010,Steve Pearce,159
NEW MEXICO 2,2010,Harry Teague,200
NEW MEXICO 3,2010,Thomas E. Mullins,20
NEW MEXICO 3,2010,Ben Ray Luján,44
NEW YORK 1,2010,Randy Altschuler,77
NEW YORK 1,2010,Timothy H. Bishop,21
NEW YORK 2,2010,John B. Gomez,6
NEW YORK 2,2010,Steve Israel,159
NEW YORK 3,2010,Peter T. King,55
NEW YORK 3,2010,Howard A. Kudler,188
NEW YORK 4,2010,"Francis X. Becker, Jr.",500
NEW YORK 4,2010,Carolyn McCarthy,115
NEW YORK 5,2010,James Milano,5
NEW YORK 5,2010,Gary L. Ackerman,47
NEW YORK 6,2010,Asher E. Taub,500
NEW YORK 6,2010,Gregory W. Meeks,29
NEW YORK 7,2010,Kenneth A. Reynolds,31
NEW YORK 7,2010,Joseph Crowley,11
NEW YORK 8,2010,Susan L. Kone,27
NEW YORK 8,2010,Jerrold Nadler,500
NEW YORK 9,2010,Robert L. Turner,7
NEW YORK 9,2010,Anthony D. Weiner,22
NEW YORK 10,2010,Diana Muniz,97
NEW YORK 10,2010,Edolphus Towns,500
NEW YORK 11,2010,Hugh C. Carr,500
NEW YORK 11,2010,Yvette D. Clarke,500
NEW YORK 12,2010,Nydia M. Velázquez,500
NEW YORK 13,2010,Michael G. Grimm,1
NEW YORK 13,2010,Michael E. McMahon,1
NEW YORK 14,2010,David Ryan Brumberg,4
NEW YORK 14,2010,Carolyn B. Maloney,115
NEW YORK 15,2010,Michel J. Faulkner,500
NEW YORK 15,2010,Charles B. Rangel,23
NEW YORK 16,2010,Frank Della Valle,65
NEW YORK 16,2010,José E. Serrano,500
NEW YORK 17,2010,Anthony Mele,22
NEW YORK 17,2010,Eliot L. Engel,500
NEW YORK 18,2010,Jim Russell,5
NEW YORK 18,2010,Nita M. Lowey,500
NEW YORK 19,2010,Nan Hayworth,500
NEW YORK 19,2010,John J. Hall,6
NEW YORK 20,2010,Christopher P. Gibson,2
NEW YORK 20,2010,Scott Murphy,17
NEW YORK 21,2010,"Theodore J. Danz, Jr.",181
NEW YORK 21,2010,Paul Tonko,27
NEW YORK 22,2010,George K. Phillips,53
NEW YORK 22,2010,Maurice D. Hinchey,167
NEW YORK 23,2010,Matthew A. Doheny,10
NEW YORK 23,2010,William L. Owens,9
NEW YORK 24,2010,Richard L. Hanna,16
NEW YORK 24,2010,Michael A. Arcuri,1
NEW YORK 25,2010,Ann Marie Buerkle,100
NEW YORK 25,2010,Daniel B. Maffei,12
NEW YORK 26,2010,Christopher John Lee,2
NEW YORK 26,2010,Philip A. Fedele,90
NEW YORK 27,2010,Leonard A. Roberto,166
NEW YORK 27,2010,Brian Higgins,8
NEW YORK 28,2010,Jill A. Rowland,54
NEW YORK 28,2010,Louise McIntosh Slaughter,500
NEW YORK 29,2010,Thomas W. Reed II,20
NEW YORK 29,2010,Matthew C. Zeller,10
NORTH CAROLINA 1,2010,Ashley Woolard,140
NORTH CAROLINA 1,2010,G. K. Butterfield,500
NORTH CAROLINA 2,2010,Renee Ellmers,88
NORTH CAROLINA 2,2010,Bob Etheridge,7
NORTH CAROLINA 3,2010,Walter B. Jones,105
NORTH CAROLINA 3,2010,Johnny G. Rouse,88
NORTH CAROLINA 4,2010,William ‘‘B. J.’’ Lawson,9
NORTH CAROLINA 4,2010,David E. Price,4
NORTH CAROLINA 5,2010,Virginia Foxx,159
NORTH CAROLINA 5,2010,Billy Kennedy,84
NORTH CAROLINA 6,2010,Howard Coble,188
NORTH CAROLINA 6,2010,Sam Turner,64
NORTH CAROLINA 7,2010,Ilario Gregory Pantano,500
NORTH CAROLINA 7,2010,Mike McIntyre,1
NORTH CAROLINA 8,2010,Harold Johnson,152
NORTH CAROLINA 8,2010,Larry Kissell,58
