,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
111,CA35,"Brown, K. Bruce",R,100.00%,2010
112,CA36,"Harman, Jane",D,59.09%,2010
113,CA36,"Fein, Mattie",R,50.22%,2010
114,CA37,"Richardson, Laura",D,67.34%,2010
115,CA37,"Parker, Star ",R,100.00%,2010
116,CA38,"Napolitano, Grace F.",D,100.00%,2010
117,CA38,"Vaughn, Robert",R,99.84%,2010
118,CA39,"Sanchez, Linda T.",D,100.00%,2010
119,CA39,"Andre, Larry S.",R,100.00%,2010
120,CA40,"Royce, Ed",R,100.00%,2010
121,CA40,"Avalos, Christina",D,100.00%,2010
122,CA41,"Lewis, Jerry",R,66.28%,2010
123,CA41,"Meagher, Pat",D,100.00%,2010
124,CA42,"Miller, Gary G.",R,48.76%,2010
125,CA42,"Williamson, Michael",D,100.00%,2010
126,CA43,"Baca, Joe",D,100.00%,2010
127,CA43,"Folkens, Scott",R,100.00%,2010
128,CA44,"Calvert, Ken",R,66.28%,2010
129,CA44,"Hedrick, Bill",D,100.00%,2010
130,CA45,"Mack, Mary Bono",R,70.55%,2010
131,CA45,"Pougnet, Steve ",D,100.00%,2010
132,CA46,"Rohrabacher, Dana",R,100.00%,2010
133,CA46,"Arnold, Ken",D,58.72%,2010
134,CA47,"Sanchez, Loretta",D,100.00%,2010
135,CA47,"Tran, Van",R,54.63%,2010
136,CA48,"Campbell, John",R,100.00%,2010
137,CA48,"Krom, Beth",D,100.00%,2010
138,CA49,"Issa, Darrell",R,100.00%,2010
139,CA49,"Katz, Howard",D,100.00%,2010
140,CA50,"Bilbray, Brian P.",R,100.00%,2010
141,CA50,"Busby, Francine",D,66.07%,2010
142,CA51,"Filner, Bob",D,100.00%,2010
143,CA51,"Popaditch, Nick",R,100.00%,2010
144,CA52,"Hunter, Duncan D.",R,90.79%,2010
145,CA52,"Lutz, Ray ",D,71.26%,2010
146,CA53,"Davis, Susan A.",D,100.00%,2010
147,CA53,"Crimmins, Michael",R,34.43%,2010
150,CO01,"DeGette, Diana",D,100.00%,2010
151,CO01,"Fallon, Mike",R,100.00%,2010
152,CO02,"Polis, Jared",D,100.00%,2010
153,CO02,"Bailey, Stephen",R,69.36%,2010
154,CO03,"Tipton, Scott R.",R,55.76%,2010
155,CO03,"Salazar, John",D,100.00%,2010
156,CO04,"Gardner, Cory",R,100.00%,2010
157,CO04,"Markey, Betsy",D,100.00%,2010
158,CO05,"Lamborn, Doug",R,100.00%,2010
159,CO05,"Bradley, Kevin",D,100.00%,2010
160,CO06,"Coffman, Mike",R,100.00%,2010
161,CO06,"Flerlage, John",D,100.00%,2010
162,CO07,"Perlmutter, Ed",D,100.00%,2010
163,CO07,"Frazier, Ryan",R,64.34%,2010
166,CT01,"Brickley, Ann",R,59.48%,2010
167,CT04,"Debicella, Dan",R,59.90%,2010
168,CT05,"Caligiuri, Sam S. F.",R,39.17%,2010
170,DE00,"Carney, John C., Jr.",D,100%,2010
171,DE00,"Urquhart, Glen",R,48.64%,2010
172,DES - UNEXPIRED TERM,"Coons, Christopher A.",D,100%,2010
173,DES - UNEXPIRED TERM,"O'Donnell, Christine",R,53.08%,2010
174,DC00,"Norton, Eleanor Holmes",D,90.18%,2010
175,DC00,"Smith, Missy Reilly",R,87.23%,2010
176,FL01,"Miller, Jeff",R,100%,2010
177,FL02,"Southerland, Steve",R,46.86%,2010
178,FL02,"Boyd, Allen",D,51.45%,2010
179,FL03,"Brown, Corinne",D,80.20%,2010
180,FL03,"Yost, Michael ""Mike""",R,45.72%,2010
181,FL04,"Crenshaw, Ander",R,100%,2010
182,FL05,"Nugent, Richard B. ""Rich""",R,62.19%,2010
183,FL05,"Piccillo, James ""Jim""",D,100%,2010
