2010	California	27	Merlin Froyd	56836					
2010	California	27	Carlos Rodriguez	56836					
2010	California	28	Adam Schiff	50607					
2010	California	28	John Colbert	50607					
2010	California	28	William Cushing	50607					
2010	California	29	Henry Waxman	57700					
2010	California	29	Chuck Wilkerson	57700					
2010	California	29	Erich Miller	57700					
2010	California	29	Richard Castaldo	57700					
2010	California	30	Xavier Becerra	75700					
2010	California	30	Stephen Smith	75700					
2010	California	30	Sal Genovese	75700					
2010	California	31	Judy Chu	35194					
2010	California	31	Ed Schmerling	35194					
2010	California	32	Karen Bass	49529					
2010	California	32	James Andion	49529					
2010	California	32	Mervin Leon Evans 0.0	49529					
2010	California	33	Lucille Roybal-Allard	41538					
2010	California	33	Wayne Miller	41538					
2010	California	34	Maxine Waters	36270					
2010	California	34	Bruce Brown	36270					
2010	California	34	Suleiman Charles Edmonson	36270					
2010	California	35	Jane Harman	41271					
2010	California	35	Mattie Fein	41271					
2010	California	35	Herb Peters	41271					
2010	California	36	Laura Richardson	65717					
2010	California	36	Star Parker	65717					
2010	California	36	Nicholas Dibs	65717					
2010	California	37	Grace Napolitano	46950					
2010	California	37	Robert Vaughn	46950					
2010	California	38	Linda Sánchez	51381					
2010	California	38	Larry Andre	51381					
2010	California	38	John Smith	51381					
2010	California	39	Ed Royce	53439					
2010	California	39	Christina Avalos	53439					
2010	California	40	Jerry Lewis	65243					
2010	California	40	Pat Meagher	65243					
2010	California	40	Pamela Zander	65243					
2010	California	41	Gary Miller	49506					
2010	California	41	Michael Williamson	49506					
2010	California	41	Mark Lambert	49506					
2010	California	42	Joe Baca	83029					
2010	California	42	Scott Folkens	83029					
2010	California	43	Ken Calvert	46728					
2010	California	43	Bill Hedrick	46728					
2010	California	44	Mary Bono Mack	67381					
2010	California	44	Steve Pougnet	67381					
2010	California	44	Bill Lussenheide	67381					
2010	California	45	Dana Rohrabacher	49508					
2010	California	45	Ken Arnold	49508					
2010	California	45	Jay Shah	49508					
2010	California	46	Loretta Sanchez	71332					
2010	California	46	Van Tran	71332					
2010	California	46	Ceci Iglesias	71332					
2010	California	47	John Campbell	51647					
2010	California	47	Beth Krom	51647					
2010	California	47	Mike Binkley	51647					
2010	California	48	Darrell Issa	82047					
2010	California	48	Howard Katz	82047					
2010	California	48	Dion Clark	82047					
2010	California	48	Mike Paster	82047					
2010	California	49	Brian Bilbray	57399					
2010	California	49	Francine Busby	57399					
2010	California	49	Lars Grossmith	57399					
2010	California	49	Miriam Clark	57399					
2010	California	50	Bob Filner	70362					
2010	California	50	Nick Popaditch	70362					
2010	California	50	Marcus Shapiro	70362					
2010	California	51	Duncan D. Hunter	50316					
2010	California	51	Ray Lutz	50316					
2010	California	51	Michael Benoit	50316					
2010	California	52	Susan Davis	67671					
2010	California	52	Michael Crimmins	67671					
2010	California	52	Paul Dekker	67671					
2010	Colorado	1	Diana DeGette	44859					
2010	Colorado	1	Mike Fallon	44859					
2010	Colorado	1	Gary Swing	44859					
2010	Colorado	1	Clint Jones	44859					
2010	Colorado	1	Chris Styskal	44859					
2010	Colorado	2	Jared Polis	62146					
2010	Colorado	2	Stephen Bailey	62146					
2010	Colorado	2	Jenna Goss	62146					
2010	Colorado	2	Curtis Harris	62146					
2010	Colorado	3	Scott Tipton	44906					
